#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-07-16T12:00:00Z,4.205,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-07-17T09:00:00Z,6.045,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-15T16:00:00Z,4.915,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-15T17:00:00Z,3.46,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-15T18:00:00Z,7.27,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-16T06:00:00Z,7.720000000000001,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-16T07:00:00Z,7.566666666666666,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-16T08:00:00Z,7.8,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-16T09:00:00Z,7.741666666666667,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-16T10:00:00Z,7.655,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-16T11:00:00Z,7.645,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-16T12:00:00Z,7.81,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-16T13:00:00Z,7.489999999999999,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-16T14:00:00Z,7.656666666666666,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-16T15:00:00Z,7.885,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-17T05:00:00Z,7.74,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-17T06:00:00Z,7.691666666666666,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-17T07:00:00Z,7.399999999999999,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-17T08:00:00Z,7.791666666666667,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-17T09:00:00Z,7.986666666666667,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-17T10:00:00Z,7.811666666666666,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-17T11:00:00Z,7.734999999999999,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-17T12:00:00Z,7.791666666666667,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-17T13:00:00Z,7.896666666666667,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-17T14:00:00Z,7.803333333333334,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-17T15:00:00Z,7.536666666666666,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T05:00:00Z,7.33,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T06:00:00Z,7.585,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T07:00:00Z,7.741666666666667,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T08:00:00Z,7.995,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T09:00:00Z,7.476666666666667,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T10:00:00Z,7.955000000000001,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T11:00:00Z,7.868333333333333,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T12:00:00Z,7.760000000000001,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T13:00:00Z,7.635000000000001,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T14:00:00Z,7.462000000000001,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T15:00:00Z,7.792,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T16:00:00Z,7.711666666666666,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T17:00:00Z,7.918333333333334,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T18:00:00Z,7.675,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T19:00:00Z,7.968333333333334,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T20:00:00Z,7.801666666666667,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T21:00:00Z,7.906666666666666,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T22:00:00Z,7.908333333333334,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-20T23:00:00Z,7.77,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T00:00:00Z,7.691666666666667,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T01:00:00Z,7.858333333333334,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T02:00:00Z,7.938333333333333,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T03:00:00Z,7.858333333333333,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T04:00:00Z,7.693333333333332,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T05:00:00Z,7.77,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T06:00:00Z,7.741666666666667,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T07:00:00Z,7.566,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T08:00:00Z,7.918333333333334,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T09:00:00Z,7.488333333333333,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T10:00:00Z,7.381666666666667,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T11:00:00Z,7.703333333333333,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T12:00:00Z,7.523333333333333,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T13:00:00Z,7.153333333333333,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T14:00:00Z,7.486666666666667,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T15:00:00Z,7.623333333333334,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-21T16:00:00Z,7.918333333333333,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-22T06:00:00Z,7.968333333333334,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-22T07:00:00Z,7.928333333333334,item_1,Measurements
,,0,2000-06-01T08:18:06Z,2023-07-31T09:18:06Z,2018-08-22T08:00:00Z,7.946666666666666,item_1,Measurements
